Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed - Percent Population,Total Doses - Daily - Age 0-17,Total Doses - Daily - Age 18-29,Total Doses - Daily - Age 30-39,Total Doses - Daily - Age 40-49,Total Doses - Daily - Age 50-59,Total Doses - Daily - Age 60-69,Total Doses - Daily - Age 70-79,Total Doses - Daily - Age 80+,Total Doses - Daily - Age 18+,Total Doses - Daily - Age 65+,Total Doses - Daily - Age 75+,Total Doses - Daily - Unknown Age,Total Doses - Daily - Female,Total Doses - Daily - Male,Total Doses - Daily - Unknown Gender,Total Doses - Daily - Latinx,Total Doses - Daily - Asian Non-Latinx,Total Doses - Daily - Black Non-Latinx,Total Doses - Daily - White Non-Latinx,Total Doses - Daily - Other Non-Latinx,Total Doses - Daily - Unknown Race/Ethnicity,1st Dose - Daily - Age 0-17,1st Dose - Daily - Age 18-29,1st Dose - Daily - Age 30-39,1st Dose - Daily - Age 40-49,1st Dose - Daily - Age 50-59,1st Dose - Daily - Age 60-69,1st Dose - Daily - Age 70-79,1st Dose - Daily -  Age 80+,1st Dose - Daily - Age 18+,1st Dose - Daily - Age 65+,1st Dose - Daily - Age 75+,1st Dose - Daily - Unknown Age,1st Dose - Daily - Female,1st Dose - Daily - Male,1st Dose - Daily - Unknown Gender,1st Dose - Daily - Latinx,1st Dose - Daily - Asian Non-Latinx,1st Dose - Daily - Black Non-Latinx,1st Dose - Daily - White Non-Latinx,1st Dose - Daily - Other Race Non-Latinx,1st Dose - Daily - Unknown Race/Ethnicity,Vaccine Series Completed - Daily - Age 0-17,Vaccine Series Completed - Daily - Age 18-29,Vaccine Series Completed - Daily - Age 30-39,Vaccine Series Completed - Daily - Age 40-49,Vaccine Series Completed - Daily - Age 50-59,Vaccine Series Completed - Daily - Age 60-69,Vaccine Series Completed - Daily - Age 70-79,Vaccine Series Completed - Daily - Age 80+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Vaccine Series Completed - Daily - Age 75+,Vaccine Series Completed - Daily - Unknown Age,Vaccine Series Completed - Daily - Female,Vaccine Series Completed - Daily - Male,Vaccine Series Completed - Daily - Unknown Gender,Vaccine Series Completed - Daily - Latinx,Vaccine Series Completed - Daily - Asian Non-Latinx,Vaccine Series Completed - Daily - Black Non-Latinx,Vaccine Series Completed - Daily - White Non-Latinx,Vaccine Series Completed - Daily - Other Race Non-Latinx,Vaccine Series Completed - Daily - Unknown Race/Ethnicity
12/15/2020,6,6,6,6,0,0,0,0,0,0,1,2,2,0,1,0,6,1,0,0,4,2,0,0,0,2,2,1,1,0,0,1,2,2,0,1,0,6,1,0,0,4,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,150,156,150,156,0,0,0,0,0,22,55,37,16,19,1,0,150,8,0,0,79,66,5,20,26,13,58,11,22,0,22,55,37,16,19,1,0,150,8,0,0,79,66,5,20,26,13,58,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,1980,2136,1980,2136,0.001,0,0,0,0,505,801,311,218,115,27,3,1980,69,10,0,1128,755,97,154,247,168,1046,103,262,0,505,801,311,218,115,27,3,1980,69,10,0,1128,755,97,154,247,168,1046,103,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,5715,7851,5715,7851,0.003,0,0,0,0,1464,2184,947,624,414,71,11,5715,229,36,0,3485,1934,296,475,777,359,2968,347,789,0,1464,2184,947,624,414,71,11,5715,229,36,0,3485,1934,296,475,777,359,2968,347,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,3430,11281,3430,11281,0.004,0,0,0,0,822,1349,564,406,253,33,3,3430,132,8,0,2182,1132,116,301,431,207,1813,226,452,0,822,1349,564,406,253,33,3,3430,132,8,0,2182,1132,116,301,431,207,1813,226,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2020,933,12214,933,12214,0.005,0,0,0,0,218,344,185,120,58,7,1,933,22,2,0,616,315,2,87,114,66,523,36,107,0,218,344,185,120,58,7,1,933,22,2,0,616,315,2,87,114,66,523,36,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2020,4378,16592,4378,16592,0.006,0,0,0,1,1211,1633,670,501,300,56,6,4377,176,25,0,2786,1355,237,437,562,330,2125,221,703,1,1211,1633,670,501,300,56,6,4377,176,25,0,2786,1355,237,437,562,330,2125,221,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,3645,20237,3645,20237,0.008,0,0,0,1,976,1338,575,427,267,51,10,3644,153,32,0,2400,1168,77,414,495,336,1808,172,420,1,976,1338,575,427,267,51,10,3644,153,32,0,2400,1168,77,414,495,336,1808,172,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2020,2785,23022,2785,23022,0.009,0,0,0,0,690,955,462,395,228,48,7,2785,117,23,0,1801,945,39,391,410,349,1268,117,250,0,690,955,462,395,228,48,7,2785,117,23,0,1801,945,39,391,410,349,1268,117,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2020,967,23989,967,23989,0.009,0,0,0,1,217,328,151,138,89,21,22,966,74,29,0,604,347,16,127,142,137,425,42,94,1,217,328,151,138,89,21,22,966,74,29,0,604,347,16,127,142,137,425,42,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
